Sensor_type,Sensor_number,ME_layer,Logical_Alignment_Name,CERN_Designator,CERN_Barcode,Abs_Slope,Abs_Slope_Error,Norm_Slope,Norm_Slope_Error,Abs_Intercept,Abs_Intercept_Error,Norm_Intercept,Norm_Intercept_Error,Shifts_due_to_shims_etc
CHAR,INT,CHAR,CHAR,CHAR,CHAR,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
Z1 sensor,28,ME+2,ME+2-TP4-ZLCP1>OUT,307EP20C00ASZ14>OUT,3071020000074140000,10.2105,0.0058,0.9144,0.0005,43.3966,0.0342,3.88627,0.00306,0
Z1 sensor,29,ME+2,ME+2-TP5-ZLCP1>OUT,307EP20C00ASZ15>OUT,3071020000074150000,10.3636,0.0046,0.9281,0.0004,43.717,0.0809,3.9151,0.00725,0
Z1 sensor,30,ME+2,ME+2-TP6-ZLCP1>OUT,307EP20C00ASZ16>OUT,3071020000074160000,10.2446,0.0022,0.9175,0.0002,43.2724,0.0094,3.8753,0.00084,0
Z2 sensor,31,ME+2,ME+2-TP1-ZLCP2>OUT,307EP20C00ASZ21>OUT,3071020000074210000,10.2987,0.0032,0.9224,0.0003,43.3983,0.0067,3.88678,0.00059,0
Z2 sensor,32,ME+2,ME+2-TP2-ZLCP2>OUT,307EP20C00ASZ22>OUT,3071020000074220000,10.2948,0.0052,0.922,0.0005,43.9967,0.0103,3.94055,0.0009,0
Z2 sensor,33,ME+2,ME+2-TP3-ZLCP2>OUT,307EP20C00ASZ23>OUT,3071020000074230000,10.429,0.0019,0.934,0.0002,43.5774,0.0046,3.90287,0.0004,0
Z2 sensor,34,ME+2,ME+2-TP4-ZLCP2>OUT,307EP20C00ASZ24>OUT,3071020000074240000,10.3748,0.0034,0.9292,0.0003,43.7358,0.0091,3.91709,0.0008,0
Z2 sensor,35,ME+2,ME+2-TP5-ZLCP2>OUT,307EP20C00ASZ25>OUT,3071020000074250000,10.2906,0.0034,0.9213,0.0003,43.4313,0.0133,3.89109,0.00125,0
Z2 sensor,36,ME+2,ME+2-TP6-ZLCP2>OUT,307EP20C00ASZ26>OUT,3071020000074260000,10.3399,0.0023,0.9261,0.0002,43.8214,0.008,3.9248,0.00071,0
Z1 sensor,37,ME-2,ME-2-TP1-ZLCP1>OUT,307EM20C00ASZ11>OUT,3071120000074110000,10.1772,0.001,0.9115,0.0001,43.1017,0.0463,3.86037,0.00419,0
Z1 sensor,38,ME-2,ME-2-TP2-ZLCP1>OUT,307EM20C00ASZ12>OUT,3071120000074120000,10.2737,0.0016,0.9201,0.0001,43.246,0.0538,3.87306,0.00482,0
Z1 sensor,39,ME-2,ME-2-TP3-ZLCP1>OUT,307EM20C00ASZ13>OUT,3071120000074130000,10.291,0.0071,0.9213,0.0004,43.4275,0.0672,3.88793,0.00712,0
Z1 sensor,40,ME-2,ME-2-TP4-ZLCP1>OUT,307EM20C00ASZ14>OUT,3071120000074140000,10.0629,0.0167,0.9012,0.0015,42.6402,0.0468,3.81882,0.0042,0
Z1 sensor,41,ME-2,ME-2-TP5-ZLCP1>OUT,307EM20C00ASZ15>OUT,3071120000074150000,10.2077,0.0099,0.9149,0.0004,43.7968,0.0607,3.92482,0.00382,0
Z1 sensor,42,ME-2,ME-2-TP6-ZLCP1>OUT,307EM20C00ASZ16>OUT,3071120000074160000,10.2167,0.02,0.9149,0.0019,43.6125,0.1175,3.90538,0.01085,0
Z2 sensor,43,ME-2,ME-2-TP1-ZLCP2>OUT,307EM20C00ASZ21>OUT,3071120000074210000,10.2578,0.0009,0.9187,0.0001,43.5111,0.0408,3.89696,0.0038,0
Z2 sensor,44,ME-2,ME-2-TP2-ZLCP2>OUT,307EM20C00ASZ22>OUT,3071120000074220000,10.3152,0.0009,0.9238,0.0001,43.4937,0.0192,3.89522,0.00172,0
Z2 sensor,45,ME-2,ME-2-TP3-ZLCP2>OUT,307EM20C00ASZ23>OUT,3071120000074230000,10.2388,0.0013,0.9171,0.0001,43.4519,0.0278,3.89192,0.00255,0
Z2 sensor,46,ME-2,ME-2-TP4-ZLCP2>OUT,307EM20C00ASZ24>OUT,3071120000074240000,10.2345,0.0035,0.9166,0.0003,43.4161,0.0059,3.88819,0.00055,0
Z2 sensor,47,ME-2,ME-2-TP5-ZLCP2>OUT,307EM20C00ASZ25>OUT,3071120000074250000,10.2806,0.0204,0.9206,0.0019,44.114,0.0567,3.9504,0.00518,0
Z2 sensor,48,ME-2,ME-2-TP6-ZLCP2>OUT,307EM20C00ASZ26>OUT,3071120000074260000,10.1196,0.0102,0.9063,0.0009,42.659,0.0586,3.82046,0.00524,0
Z1 sensor,49,ME+3,ME+3-TP1-ZLCP1>OUT,307EP30C00ASZ11>OUT,3071030000074110000,10.3833,0.0033,0.9299,0.0003,44.0472,0.0204,3.94476,0.00183,0
Z1 sensor,50,ME+3,ME+3-TP2-ZLCP1>OUT,307EP30C00ASZ12>OUT,3071030000074120000,10.1177,0.0026,0.9061,0.0002,43.0296,0.0257,3.8536,0.0023,0
Z1 sensor,51,ME+3,ME+3-TP3-ZLCP1>OUT,307EP30C00ASZ13>OUT,3071030000074130000,10.2826,0.0064,0.9209,0.0006,43.5346,0.0259,3.89896,0.0023,0
